Open Time,Open,High,Low,Close,Volume,Close time,QAV,No. of trades,Taker buy base,Taker buy quote,Ignore,,,
1.66E+12,23093.13,23300,23090,23240.4,5755.75131,1.66E+12,133632230.5,206418,3204.39042,74393824.74,0,1659891600,5:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23238.33,23287.26,23184.36,23215.6,3372.28767,1.66E+12,78370862.93,143283,1559.23481,36238425.93,0,1659895200,6:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23214.59,23224.11,23141.48,23161.02,2740.86815,1.66E+12,63562294.65,124043,1313.56553,30464022.66,0,1659898800,7:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23162.46,23279.97,23151.63,23264.01,3412.95593,1.66E+12,79264857.45,139171,1824.36984,42374793.93,0,1659902400,8:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23264.01,23402,23262.02,23311.34,3759.24792,1.66E+12,87707718.37,150644,1965.53145,45861694.08,0,1659906000,9:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23311.34,23323,23215.6,23244.63,3588.4071,1.66E+12,83476614.8,163729,1746.43511,40628862.21,0,1659909600,10:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23244.63,23252.92,23051.71,23174.39,5154.11855,1.66E+12,119298211,185239,2445.64946,56604524.26,0,1659913200,11:00:00 pm,"Sunday, 7 August 2022"
1.66E+12,23174.39,23350,23154.25,23264.25,5160.37577,1.66E+12,119987100.5,208624,2736.83634,63636662.78,0,1659916800,12:00:00 am,"Monday, 8 August 2022"
1.66E+12,23262.89,23275.15,23162.98,23220.08,3725.5341,1.66E+12,86470942.37,155386,1799.37324,41765839.96,0,1659920400,1:00:00 am,"Monday, 8 August 2022"
1.66E+12,23218.93,23328.72,23203.82,23302.44,5132.5044,1.66E+12,119454172.1,174427,2476.27894,57630012.36,0,1659924000,2:00:00 am,"Monday, 8 August 2022"
1.66E+12,23303.17,23344,23254.36,23306.63,4037.71722,1.66E+12,94067320.01,151715,2049.17758,47739445.19,0,1659927600,3:00:00 am,"Monday, 8 August 2022"
1.66E+12,23306.62,23359.76,23278.14,23341.39,3286.07098,1.66E+12,76629843.85,129889,1691.57459,39448028,0,1659931200,4:00:00 am,"Monday, 8 August 2022"
1.66E+12,23341.39,23467,23331.32,23430.31,5607.63136,1.66E+12,131218534.5,198727,2910.8172,68114141.74,0,1659934800,5:00:00 am,"Monday, 8 August 2022"
1.66E+12,23430.31,23792.86,23430.31,23729.49,12470.75605,1.66E+12,294803572.6,386819,6311.22606,149183346.9,0,1659938400,6:00:00 am,"Monday, 8 August 2022"
1.66E+12,23729.49,23852.43,23682.07,23807.68,8748.39534,1.66E+12,208080716.7,293361,4509.92391,107271388.4,0,1659942000,7:00:00 am,"Monday, 8 August 2022"
1.66E+12,23807.53,24175.07,23771.01,24133.46,13627.83376,1.66E+12,326732732.9,418228,7249.35852,173820442.8,0,1659945600,8:00:00 am,"Monday, 8 August 2022"
1.66E+12,24133.46,24189.43,24056.11,24090.38,8309.32898,1.66E+12,200525909.3,295098,4087.85041,98651603.35,0,1659949200,9:00:00 am,"Monday, 8 August 2022"
1.66E+12,24092.18,24120,24000,24061.06,6079.56013,1.66E+12,146380285.8,234007,3076.13085,74068190.95,0,1659952800,10:00:00 am,"Monday, 8 August 2022"
1.66E+12,24059.74,24182.3,24013.28,24166.12,6571.6723,1.66E+12,158325057.5,249061,3439.79188,82877089.3,0,1659956400,11:00:00 am,"Monday, 8 August 2022"
1.66E+12,24166.12,24245,24066.87,24122.21,9789.32861,1.66E+12,236353735.3,327331,5045.24373,121818380.8,0,1659960000,12:00:00 pm,"Monday, 8 August 2022"
1.66E+12,24122.21,24211.99,24007.55,24160.36,10084.78142,1.66E+12,243140995.7,345837,4913.63374,118471969.8,0,1659963600,1:00:00 pm,"Monday, 8 August 2022"
1.66E+12,24160.27,24222.61,24076.53,24145.76,7953.67072,1.66E+12,192120392.1,288889,4049.2997,97816344.02,0,1659967200,2:00:00 pm,"Monday, 8 August 2022"
1.66E+12,24147.52,24211.42,23892.57,23991.38,10586.66334,1.66E+12,254465845.3,349913,4997.24186,120121413.8,0,1659970800,3:00:00 pm,"Monday, 8 August 2022"
1.66E+12,23991.38,24011.93,23841.6,23939.66,8293.6123,1.66E+12,198363650.2,280586,4062.88472,97178624.03,0,1659974400,4:00:00 pm,"Monday, 8 August 2022"
1.66E+12,23939.66,23992.78,23901.22,23964.99,5105.45098,1.66E+12,122273325.9,188693,2559.69048,61304378.06,0,1659978000,5:00:00 pm,"Monday, 8 August 2022"
1.66E+12,23963.73,23982.23,23875.44,23917.89,5251.72465,1.66E+12,125680463.4,210516,2628.98415,62918741.44,0,1659981600,6:00:00 pm,"Monday, 8 August 2022"
1.66E+12,23917.89,23957.63,23793.33,23926.83,5680.72939,1.66E+12,135735277.7,211561,2788.81378,66641833.7,0,1659985200,7:00:00 pm,"Monday, 8 August 2022"
1.66E+12,23926.84,24104.55,23908.96,24066.49,5167.7647,1.66E+12,123982859.6,170570,2729.26035,65482267.16,0,1659988800,8:00:00 pm,"Monday, 8 August 2022"
1.66E+12,24066.49,24068.31,23762.38,23850.33,5725.46482,1.66E+12,136633341.9,187054,2713.97247,64777145.43,0,1659992400,9:00:00 pm,"Monday, 8 August 2022"
1.66E+12,23850.33,23854.47,23670.88,23813.39,8402.25738,1.66E+12,199838867.9,230536,4028.48567,95824063.98,0,1659996000,10:00:00 pm,"Monday, 8 August 2022"
1.66E+12,23813.39,23922.7,23755.36,23810,6159.61282,1.66E+12,146787167.5,205217,3086.44708,73557030.3,0,1659999600,11:00:00 pm,"Monday, 8 August 2022"
1.66E+12,23810.98,23869.96,23727.95,23794,3670.44373,1.66E+12,87416851.42,179951,1818.36217,43308076.25,0,1660003200,12:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23792.61,23839.16,23708.31,23733.96,4295.21852,1.66E+12,102148045.9,189152,2211.93528,52608047.7,0,1660006800,1:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23732.97,23815.95,23626.87,23807.74,4397.15516,1.66E+12,104373256.6,184865,2157.56157,51223619.99,0,1660010400,2:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23807.74,23849,23776.98,23828.96,3011.61828,1.66E+12,71750151.54,152776,1515.18331,36099917.91,0,1660014000,3:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23828.98,23904.26,23792.11,23884.91,3468.44144,1.66E+12,82716568.42,165464,1742.4749,41555717.22,0,1660017600,4:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23884.91,23933.25,23850,23873.74,3399.98472,1.66E+12,81204515.23,152953,1709.55066,40832734.42,0,1660021200,5:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23873.74,23881.22,23754.51,23849.8,4878.56752,1.66E+12,116118577.5,186576,2330.87738,55481222.02,0,1660024800,6:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23849.8,23906.78,23815.49,23878.12,4877.78561,1.66E+12,116367649.7,202214,2469.8152,58924907.37,0,1660028400,7:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23878.12,23890.47,23768.04,23777.27,4791.64287,1.66E+12,114155151.5,199026,2273.91181,54175813.76,0,1660032000,8:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23777.27,23829,23470,23472.62,10055.90053,1.66E+12,237852766.8,331755,4511.56982,106731650.8,0,1660035600,9:00:00 am,"Tuesday, 9 August 2022"
1.66E+12,23472.62,23531.87,23336.15,23350.39,11390.69368,1.66E+12,266762676.5,359631,5709.98404,133733481.6,0,1660039200,10:00:00 am,"Tuesday, 9 August 2022"
